EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	11:41:59	0.0000	0.6442571589953667	0.006225401069968939	0.7917	0.7308	0.76	0.6129
2	11:44:02	0.0000	0.0136616201387218	0.010048153810203075	1.0	0.6538	0.7907	0.6538
3	11:46:06	0.0000	0.009767910805060523	0.008190130814909935	1.0	0.7308	0.8444	0.7308
4	11:48:11	0.0000	0.006167142361363968	0.008882056921720505	0.8462	0.8462	0.8462	0.7333
5	11:50:17	0.0000	0.0047597321708500355	0.006160549819469452	1.0	0.8462	0.9167	0.8462
6	11:52:20	0.0000	0.0035801430018898156	0.010306851007044315	0.7419	0.8846	0.807	0.6765
7	11:54:23	0.0000	0.002513744380047087	0.006988785229623318	0.9565	0.8462	0.898	0.8148
8	11:56:27	0.0000	0.0012323484908934796	0.007825836539268494	0.9565	0.8462	0.898	0.8148
9	11:58:30	0.0000	0.0010692499069052627	0.011428730562329292	0.7857	0.8462	0.8148	0.6875
10	12:00:34	0.0000	0.00042997606189612943	0.009739411063492298	0.9545	0.8077	0.875	0.7778
11	12:02:37	0.0000	0.0005561392065093275	0.011730236932635307	0.9167	0.8462	0.88	0.7857
12	12:04:40	0.0000	0.000886919845380431	0.011304088868200779	0.875	0.8077	0.84	0.7241
13	12:06:44	0.0000	0.0003853678629491798	0.013175737112760544	0.913	0.8077	0.8571	0.75
14	12:08:47	0.0000	0.00044764765106009637	0.010653418488800526	1.0	0.7692	0.8696	0.7692
15	12:10:51	0.0000	0.0007387315251185995	0.010693499818444252	1.0	0.7692	0.8696	0.7692
16	12:12:54	0.0000	0.0006032638166711998	0.014632590115070343	0.875	0.8077	0.84	0.7241
17	12:14:57	0.0000	0.00013087595514463065	0.0108136972412467	0.9524	0.7692	0.8511	0.7407
18	12:17:00	0.0000	0.00015481206236612983	0.009400546550750732	0.9545	0.8077	0.875	0.7778
19	12:19:04	0.0000	3.567651127016461e-05	0.009506147354841232	0.9545	0.8077	0.875	0.7778
20	12:21:08	0.0000	6.14914537839758e-05	0.00950508750975132	0.9545	0.8077	0.875	0.7778